NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PIK3R1	phosphoinositide-3-kinase regulatory subunit 1 [Source:HGNC Symbol;Acc:HGNC:8979]	136	2.531740427017212	0.04105621	Yes	
row_1	GSK3B	glycogen synthase kinase 3 beta [Source:HGNC Symbol;Acc:HGNC:4617]	194	2.356196880340576	0.085121766	Yes	
row_2	PIK3CB	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta [Source:HGNC Symbol;Acc:HGNC:8976]	279	2.1726126670837402	0.12310738	Yes	
row_3	AKT1	AKT serine/threonine kinase 1 [Source:HGNC Symbol;Acc:HGNC:391]	308	2.1056578159332275	0.16441827	Yes	
row_4	LYN	LYN proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:6735]	327	2.0673506259918213	0.20577647	Yes	
row_5	PPP3CC	protein phosphatase 3 catalytic subunit gamma [Source:HGNC Symbol;Acc:HGNC:9316]	382	1.9824566841125488	0.24234381	Yes	
row_6	CD81	CD81 molecule [Source:HGNC Symbol;Acc:HGNC:1701]	465	1.8557751178741455	0.2739271	Yes	
row_7	NFAT5	nuclear factor of activated T cells 5 [Source:HGNC Symbol;Acc:HGNC:7774]	476	1.8258004188537598	0.31094936	Yes	
row_8	MAP2K1	mitogen-activated protein kinase kinase 1 [Source:HGNC Symbol;Acc:HGNC:6840]	543	1.7478176355361938	0.3416406	Yes	
row_9	PTPN6	protein tyrosine phosphatase non-receptor type 6 [Source:HGNC Symbol;Acc:HGNC:9658]	658	1.6125233173370361	0.36548564	Yes	
row_10	DAPP1	dual adaptor of phosphotyrosine and 3-phosphoinositides 1 [Source:HGNC Symbol;Acc:HGNC:16500]	667	1.5975168943405151	0.39794204	Yes	
row_11	VAV3	vav guanine nucleotide exchange factor 3 [Source:HGNC Symbol;Acc:HGNC:12659]	689	1.5816906690597534	0.42897597	Yes	
row_12	IKBKG	inhibitor of nuclear factor kappa B kinase regulatory subunit gamma [Source:HGNC Symbol;Acc:HGNC:5961]	969	1.355238914489746	0.43359646	Yes	
row_13	KRAS	KRAS proto-oncogene, GTPase [Source:HGNC Symbol;Acc:HGNC:6407]	1247	1.179621934890747	0.43474334	Yes	
row_14	MAPK1	mitogen-activated protein kinase 1 [Source:HGNC Symbol;Acc:HGNC:6871]	1313	1.1416881084442139	0.45294863	Yes	
row_15	MALT1	MALT1 paracaspase [Source:HGNC Symbol;Acc:HGNC:6819]	1321	1.1356451511383057	0.47591078	Yes	
row_16	PIK3R3	phosphoinositide-3-kinase regulatory subunit 3 [Source:HGNC Symbol;Acc:HGNC:8981]	1464	1.0754516124725342	0.48626098	Yes	
row_17	SOS2	SOS Ras/Rho guanine nucleotide exchange factor 2 [Source:HGNC Symbol;Acc:HGNC:11188]	2009	0.8718587756156921	0.4585506	No	
row_18	SOS1	SOS Ras/Rac guanine nucleotide exchange factor 1 [Source:HGNC Symbol;Acc:HGNC:11187]	2521	0.7405709624290466	0.43089533	No	
row_19	BTK	Bruton tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:1133]	2593	0.7228407859802246	0.4399094	No	
row_20	PIK3R2	phosphoinositide-3-kinase regulatory subunit 2 [Source:HGNC Symbol;Acc:HGNC:8980]	2639	0.71342533826828	0.45091674	No	
row_21	IFITM1	interferon induced transmembrane protein 1 [Source:HGNC Symbol;Acc:HGNC:5412]	3007	0.6401596069335938	0.43330032	No	
