NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DCAF7	DDB1 and CUL4 associated factor 7 [Source:HGNC Symbol;Acc:HGNC:30915]	445	1.882351279258728	-0.020444585	No	
row_1	SLC30A6	solute carrier family 30 member 6 [Source:HGNC Symbol;Acc:HGNC:19305]	755	1.5196583271026611	-0.032692265	No	
row_2	HEXIM1	HEXIM P-TEFb complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:24953]	907	1.397295594215393	-0.032676283	No	
row_3	NDUFAF8	NADH:ubiquinone oxidoreductase complex assembly factor 8 [Source:HGNC Symbol;Acc:HGNC:33551]	1453	1.0789541006088257	-0.06895688	No	
row_4	STX8	syntaxin 8 [Source:HGNC Symbol;Acc:HGNC:11443]	1468	1.0741280317306519	-0.060296968	No	
row_5	JMJD6	jumonji domain containing 6, arginine demethylase and lysine hydroxylase [Source:HGNC Symbol;Acc:HGNC:19355]	1536	1.0427950620651245	-0.05641427	No	
row_6	RAB10	RAB10, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9759]	1690	0.9782659411430359	-0.06040874	No	
row_7	SLC25A19	solute carrier family 25 member 19 [Source:HGNC Symbol;Acc:HGNC:14409]	1796	0.9425264596939087	-0.0606644	No	
row_8	PIGL	phosphatidylinositol glycan anchor biosynthesis class L [Source:HGNC Symbol;Acc:HGNC:8966]	1860	0.9203539490699768	-0.057565186	No	
row_9	SGSH	N-sulfoglucosamine sulfohydrolase [Source:HGNC Symbol;Acc:HGNC:10818]	1879	0.9122642278671265	-0.050727855	No	
row_10	ACADVL	acyl-CoA dehydrogenase very long chain [Source:HGNC Symbol;Acc:HGNC:92]	2197	0.8151324987411499	-0.07011128	No	
row_11	TMEM106A	transmembrane protein 106A [Source:HGNC Symbol;Acc:HGNC:28288]	2501	0.7481200695037842	-0.08892293	No	
row_12	SOS1	SOS Ras/Rac guanine nucleotide exchange factor 1 [Source:HGNC Symbol;Acc:HGNC:11187]	2521	0.7405709624290466	-0.08374414	No	
row_13	WIPF2	WAS/WASL interacting protein family member 2 [Source:HGNC Symbol;Acc:HGNC:30923]	2526	0.7386111617088318	-0.07731256	No	
row_14	SRSF2	serine and arginine rich splicing factor 2 [Source:HGNC Symbol;Acc:HGNC:10783]	2607	0.7202519774436951	-0.07748776	No	
row_15	GJC1	gap junction protein gamma 1 [Source:HGNC Symbol;Acc:HGNC:4280]	2704	0.7124559283256531	-0.079089895	No	
row_16	DHRS7B	dehydrogenase/reductase 7B [Source:HGNC Symbol;Acc:HGNC:24547]	2834	0.677937924861908	-0.08380411	No	
row_17	SMURF2	SMAD specific E3 ubiquitin protein ligase 2 [Source:HGNC Symbol;Acc:HGNC:16809]	3091	0.6205124855041504	-0.09980377	No	
row_18	ETV4	ETS variant transcription factor 4 [Source:HGNC Symbol;Acc:HGNC:3493]	3328	0.5864534378051758	-0.114421286	No	
row_19	ALDOC	aldolase, fructose-bisphosphate C [Source:HGNC Symbol;Acc:HGNC:418]	3396	0.5823149085044861	-0.114759564	No	
row_20	NCBP3	nuclear cap binding subunit 3 [Source:HGNC Symbol;Acc:HGNC:24612]	3446	0.569078266620636	-0.113694265	No	
row_21	BRIP1	BRCA1 interacting helicase 1 [Source:HGNC Symbol;Acc:HGNC:20473]	3534	0.5482563972473145	-0.116039075	No	
row_22	DPH1	diphthamide biosynthesis 1 [Source:HGNC Symbol;Acc:HGNC:3003]	3680	0.518826961517334	-0.12356724	No	
row_23	CCDC47	coiled-coil domain containing 47 [Source:HGNC Symbol;Acc:HGNC:24856]	3749	0.4982084035873413	-0.124761194	No	
row_24	ATPAF2	ATP synthase mitochondrial F1 complex assembly factor 2 [Source:HGNC Symbol;Acc:HGNC:18802]	3784	0.48905545473098755	-0.12315866	No	
row_25	ANAPC11	anaphase promoting complex subunit 11 [Source:HGNC Symbol;Acc:HGNC:14452]	3799	0.48374736309051514	-0.11991045	No	
row_26	UBE2O	ubiquitin conjugating enzyme E2 O [Source:HGNC Symbol;Acc:HGNC:29554]	4147	0.4219336211681366	-0.14543962	No	
row_27	SEC14L1	SEC14 like lipid binding 1 [Source:HGNC Symbol;Acc:HGNC:10698]	4182	0.4139731526374817	-0.14452533	No	
row_28	BIRC5	baculoviral IAP repeat containing 5 [Source:HGNC Symbol;Acc:HGNC:593]	4233	0.40159034729003906	-0.14508003	No	
row_29	SMG8	SMG8 nonsense mediated mRNA decay factor [Source:HGNC Symbol;Acc:HGNC:25551]	4585	0.35328564047813416	-0.17157733	No	
row_30	SYNRG	synergin gamma [Source:HGNC Symbol;Acc:HGNC:557]	4835	0.3355278968811035	-0.18959627	No	
row_31	HEATR6	HEAT repeat containing 6 [Source:HGNC Symbol;Acc:HGNC:24076]	4886	0.32722824811935425	-0.1908326	No	
row_32	MSI2	musashi RNA binding protein 2 [Source:HGNC Symbol;Acc:HGNC:18585]	4943	0.315540611743927	-0.19268437	No	
