NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MICAL2	microtubule associated monooxygenase, calponin and LIM domain containing 2 [Source:HGNC Symbol;Acc:HGNC:24693]	282	2.166307210922241	0.016407628	No	
row_1	MLLT11	MLLT11 transcription factor 7 cofactor [Source:HGNC Symbol;Acc:HGNC:16997]	597	1.6793562173843384	0.021095	No	
row_2	MCM4	minichromosome maintenance complex component 4 [Source:HGNC Symbol;Acc:HGNC:6947]	894	1.407179355621338	0.02225317	No	
row_3	LEF1	lymphoid enhancer binding factor 1 [Source:HGNC Symbol;Acc:HGNC:6551]	2261	0.8028404712677002	-0.07788789	No	
row_4	GPSM2	G protein signaling modulator 2 [Source:HGNC Symbol;Acc:HGNC:29501]	2454	0.7621268033981323	-0.079928756	No	
row_5	COL9A3	collagen type IX alpha 3 chain [Source:HGNC Symbol;Acc:HGNC:2219]	2751	0.6985085010528564	-0.09190596	No	
row_6	AHNAK2	AHNAK nucleoprotein 2 [Source:HGNC Symbol;Acc:HGNC:20125]	3146	0.6035052537918091	-0.113896005	No	
row_7	PITX1	paired like homeodomain 1 [Source:HGNC Symbol;Acc:HGNC:9004]	3180	0.5978550910949707	-0.10559334	No	
row_8	ENO2	enolase 2 [Source:HGNC Symbol;Acc:HGNC:3353]	3403	0.5801404714584351	-0.11353347	No	
row_9	MSX2	msh homeobox 2 [Source:HGNC Symbol;Acc:HGNC:7392]	3648	0.5273594856262207	-0.12430438	No	
row_10	CDH3	cadherin 3 [Source:HGNC Symbol;Acc:HGNC:1762]	3883	0.4669311046600342	-0.13535331	No	
row_11	KIF11	kinesin family member 11 [Source:HGNC Symbol;Acc:HGNC:6388]	4056	0.4421526789665222	-0.1416409	No	
row_12	SLC7A5	solute carrier family 7 member 5 [Source:HGNC Symbol;Acc:HGNC:11063]	4115	0.4286786615848541	-0.13857904	No	
row_13	BIRC5	baculoviral IAP repeat containing 5 [Source:HGNC Symbol;Acc:HGNC:593]	4233	0.40159034729003906	-0.14098728	No	
row_14	HMGA2	high mobility group AT-hook 2 [Source:HGNC Symbol;Acc:HGNC:5009]	4300	0.3822252154350281	-0.13946007	No	
row_15	APLP1	amyloid beta precursor like protein 1 [Source:HGNC Symbol;Acc:HGNC:597]	4909	0.3219163715839386	-0.18468897	No	
row_16	FGFR3	fibroblast growth factor receptor 3 [Source:HGNC Symbol;Acc:HGNC:3690]	5174	0.25862187147140503	-0.20212506	No	
row_17	SV2A	synaptic vesicle glycoprotein 2A [Source:HGNC Symbol;Acc:HGNC:20566]	5292	0.22919531166553497	-0.20772867	No	
row_18	MKI67	marker of proliferation Ki-67 [Source:HGNC Symbol;Acc:HGNC:7107]	5298	0.22839093208312988	-0.20391642	No	
row_19	BUB1	BUB1 mitotic checkpoint serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:1148]	5360	0.21354158222675323	-0.20509477	No	
row_20	PLP2	proteolipid protein 2 [Source:HGNC Symbol;Acc:HGNC:9087]	6136	0.08587424457073212	-0.26876074	No	
row_21	RRM2	ribonucleotide reductase regulatory subunit M2 [Source:HGNC Symbol;Acc:HGNC:10452]	6564	-0.008291048929095268	-0.30456194	No	
row_22	CEP55	centrosomal protein 55 [Source:HGNC Symbol;Acc:HGNC:1161]	6756	-0.042274992913007736	-0.3198612	No	
row_23	PBK	PDZ binding kinase [Source:HGNC Symbol;Acc:HGNC:18282]	7253	-0.16189171373844147	-0.3586254	No	
row_24	CDKN3	cyclin dependent kinase inhibitor 3 [Source:HGNC Symbol;Acc:HGNC:1791]	7301	-0.17356592416763306	-0.35936588	No	
row_25	CDC20	cell division cycle 20 [Source:HGNC Symbol;Acc:HGNC:1723]	7683	-0.2635510265827179	-0.38656244	No	
