NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	KNTC1	kinetochore associated 1 [Source:HGNC Symbol;Acc:HGNC:17255]	612	1.6629871129989624	-0.038184498	No	
row_1	NSD2	nuclear receptor binding SET domain protein 2 [Source:HGNC Symbol;Acc:HGNC:12766]	640	1.6365946531295776	-0.02690632	No	
row_2	PRPS1	phosphoribosyl pyrophosphate synthetase 1 [Source:HGNC Symbol;Acc:HGNC:9462]	647	1.6283034086227417	-0.013913459	No	
row_3	PNN	pinin, desmosome associated protein [Source:HGNC Symbol;Acc:HGNC:9162]	869	1.431723713874817	-0.020809723	No	
row_4	MCM4	minichromosome maintenance complex component 4 [Source:HGNC Symbol;Acc:HGNC:6947]	894	1.407179355621338	-0.011179155	No	
row_5	ABCB7	ATP binding cassette subfamily B member 7 [Source:HGNC Symbol;Acc:HGNC:48]	983	1.3393338918685913	-0.0075464277	No	
row_6	LARP7	La ribonucleoprotein 7, transcriptional regulator [Source:HGNC Symbol;Acc:HGNC:24912]	1532	1.0450934171676636	-0.045419455	No	
row_7	STAT5A	signal transducer and activator of transcription 5A [Source:HGNC Symbol;Acc:HGNC:11366]	1788	0.9425264596939087	-0.059259772	No	
row_8	TIMELESS	timeless circadian regulator [Source:HGNC Symbol;Acc:HGNC:11813]	1904	0.9018241167068481	-0.061548013	No	
row_9	DCP2	decapping mRNA 2 [Source:HGNC Symbol;Acc:HGNC:24452]	2207	0.8113258481025696	-0.0804678	No	
row_10	RECQL	RecQ like helicase [Source:HGNC Symbol;Acc:HGNC:9948]	2211	0.8102385401725769	-0.074003816	No	
row_11	TOP1	DNA topoisomerase I [Source:HGNC Symbol;Acc:HGNC:11986]	2478	0.753179132938385	-0.090348445	No	
row_12	SUZ12	SUZ12 polycomb repressive complex 2 subunit [Source:HGNC Symbol;Acc:HGNC:17101]	2610	0.718230128288269	-0.09551791	No	
row_13	DHFR	dihydrofolate reductase [Source:HGNC Symbol;Acc:HGNC:2861]	2820	0.6857260465621948	-0.10758112	No	
row_14	IDH3B	isocitrate dehydrogenase (NAD(+)) 3 non-catalytic subunit beta [Source:HGNC Symbol;Acc:HGNC:5385]	2859	0.6706178784370422	-0.10524732	No	
row_15	PRKDC	protein kinase, DNA-activated, catalytic subunit [Source:HGNC Symbol;Acc:HGNC:9413]	3076	0.6220782399177551	-0.11843279	No	
row_16	SNRPA1	small nuclear ribonucleoprotein polypeptide A' [Source:HGNC Symbol;Acc:HGNC:11152]	3086	0.6211684942245483	-0.11404619	No	
row_17	MPHOSPH9	M-phase phosphoprotein 9 [Source:HGNC Symbol;Acc:HGNC:7215]	3122	0.6118729710578918	-0.11194475	No	
row_18	FOXM1	forkhead box M1 [Source:HGNC Symbol;Acc:HGNC:3818]	3170	0.598761796951294	-0.11097113	No	
row_19	RAD54L	RAD54 like [Source:HGNC Symbol;Acc:HGNC:9826]	3316	0.5864534378051758	-0.11842229	No	
row_20	CD47	CD47 molecule [Source:HGNC Symbol;Acc:HGNC:1682]	3448	0.5680985450744629	-0.124836706	No	
row_21	NFATC2IP	nuclear factor of activated T cells 2 interacting protein [Source:HGNC Symbol;Acc:HGNC:25906]	3515	0.5521648526191711	-0.12586308	No	
row_22	CAD	carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, and dihydroorotase [Source:HGNC Symbol;Acc:HGNC:1424]	3584	0.5345594882965088	-0.12720528	No	
row_23	SNRPA	small nuclear ribonucleoprotein polypeptide A [Source:HGNC Symbol;Acc:HGNC:11151]	3613	0.5315027236938477	-0.1251758	No	
row_24	ZNF131	zinc finger protein 131 [Source:HGNC Symbol;Acc:HGNC:12915]	3641	0.5299742221832275	-0.123074085	No	
row_25	CDC7	cell division cycle 7 [Source:HGNC Symbol;Acc:HGNC:1745]	3687	0.5160674452781677	-0.12261634	No	
row_26	RBBP8	RB binding protein 8, endonuclease [Source:HGNC Symbol;Acc:HGNC:9891]	4079	0.43713247776031494	-0.15219744	No	
row_27	DDX46	DEAD-box helicase 46 [Source:HGNC Symbol;Acc:HGNC:18681]	4309	0.3802022635936737	-0.16849266	No	
row_28	RFC4	replication factor C subunit 4 [Source:HGNC Symbol;Acc:HGNC:9972]	4367	0.3687138855457306	-0.17027594	No	
row_29	PRPF4	pre-mRNA processing factor 4 [Source:HGNC Symbol;Acc:HGNC:17349]	4718	0.3508683145046234	-0.19709042	No	
