NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	BID	BH3 interacting domain death agonist [Source:HGNC Symbol;Acc:HGNC:1050]	223	2.2989933490753174	0.0025581594	No	
row_1	POLA2	DNA polymerase alpha 2, accessory subunit [Source:HGNC Symbol;Acc:HGNC:30073]	258	2.2156457901000977	0.020354087	No	
row_2	CDCA3	cell division cycle associated 3 [Source:HGNC Symbol;Acc:HGNC:14624]	841	1.450606107711792	-0.015426298	No	
row_3	MCM4	minichromosome maintenance complex component 4 [Source:HGNC Symbol;Acc:HGNC:6947]	894	1.407179355621338	-0.0067005036	No	
row_4	CA2	carbonic anhydrase 2 [Source:HGNC Symbol;Acc:HGNC:1373]	933	1.378369927406311	0.002942772	No	
row_5	HELLS	helicase, lymphoid specific [Source:HGNC Symbol;Acc:HGNC:4861]	1008	1.3294482231140137	0.009078908	No	
row_6	GGH	gamma-glutamyl hydrolase [Source:HGNC Symbol;Acc:HGNC:4248]	1508	1.0542172193527222	-0.023367388	No	
row_7	OIP5	Opa interacting protein 5 [Source:HGNC Symbol;Acc:HGNC:20300]	1949	0.8848168253898621	-0.052395	No	
row_8	MCUB	mitochondrial calcium uniporter dominant negative subunit beta [Source:HGNC Symbol;Acc:HGNC:26076]	2156	0.8311598896980286	-0.06209453	No	
row_9	TPGS2	tubulin polyglutamylase complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:24561]	2309	0.7953639626502991	-0.06755223	No	
row_10	DHFR	dihydrofolate reductase [Source:HGNC Symbol;Acc:HGNC:2861]	2820	0.6857260465621948	-0.10436951	No	
row_11	FOXM1	forkhead box M1 [Source:HGNC Symbol;Acc:HGNC:3818]	3170	0.598761796951294	-0.12835546	No	
row_12	KIF11	kinesin family member 11 [Source:HGNC Symbol;Acc:HGNC:6388]	4056	0.4421526789665222	-0.19922282	No	
row_13	POLQ	DNA polymerase theta [Source:HGNC Symbol;Acc:HGNC:9186]	4181	0.4140927195549011	-0.20586596	No	
row_14	DTYMK	deoxythymidylate kinase [Source:HGNC Symbol;Acc:HGNC:3061]	4197	0.41031718254089355	-0.20330785	No	
row_15	BIRC5	baculoviral IAP repeat containing 5 [Source:HGNC Symbol;Acc:HGNC:593]	4233	0.40159034729003906	-0.20252594	No	
row_16	STIL	STIL centriolar assembly protein [Source:HGNC Symbol;Acc:HGNC:10879]	4279	0.3872390687465668	-0.20272535	No	
row_17	CDKN2A	cyclin dependent kinase inhibitor 2A [Source:HGNC Symbol;Acc:HGNC:1787]	4446	0.35328564047813416	-0.213495	No	
row_18	APOBEC3B	apolipoprotein B mRNA editing enzyme catalytic subunit 3B [Source:HGNC Symbol;Acc:HGNC:17352]	4865	0.3317694365978241	-0.24581955	No	
row_19	PRELID3B	PRELI domain containing 3B [Source:HGNC Symbol;Acc:HGNC:15892]	4998	0.3019650876522064	-0.25418702	No	
row_20	ECT2	epithelial cell transforming 2 [Source:HGNC Symbol;Acc:HGNC:3155]	5004	0.3006393015384674	-0.25180507	No	
row_21	TK1	thymidine kinase 1 [Source:HGNC Symbol;Acc:HGNC:11830]	5059	0.2845621407032013	-0.25372532	No	
row_22	CHAF1B	chromatin assembly factor 1 subunit B [Source:HGNC Symbol;Acc:HGNC:1911]	5178	0.2570608854293823	-0.2613255	No	
row_23	SLC25A15	solute carrier family 25 member 15 [Source:HGNC Symbol;Acc:HGNC:10985]	5192	0.25313836336135864	-0.26006475	No	
row_24	MKI67	marker of proliferation Ki-67 [Source:HGNC Symbol;Acc:HGNC:7107]	5298	0.22839093208312988	-0.2668309	No	
row_25	TRIP13	thyroid hormone receptor interactor 13 [Source:HGNC Symbol;Acc:HGNC:12307]	5358	0.2138276994228363	-0.26983497	No	
row_26	BUB1	BUB1 mitotic checkpoint serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:1148]	5360	0.21354158222675323	-0.26792687	No	
row_27	H2AX	H2A.X variant histone [Source:HGNC Symbol;Acc:HGNC:4739]	5578	0.20914223790168762	-0.2843634	No	
row_28	MAPK13	mitogen-activated protein kinase 13 [Source:HGNC Symbol;Acc:HGNC:6875]	5739	0.17109280824661255	-0.29632488	No	
row_29	HMGA1	high mobility group AT-hook 1 [Source:HGNC Symbol;Acc:HGNC:5010]	5774	0.16426458954811096	-0.29767302	No	
row_30	COMMD8	COMM domain containing 8 [Source:HGNC Symbol;Acc:HGNC:26036]	5789	0.16062255203723907	-0.2973604	No	
row_31	EBP	EBP cholestenol delta-isomerase [Source:HGNC Symbol;Acc:HGNC:3133]	5843	0.15019625425338745	-0.30044985	No	
row_32	DPP3	dipeptidyl peptidase 3 [Source:HGNC Symbol;Acc:HGNC:3008]	5876	0.14448250830173492	-0.30181313	No	
row_33	SLC38A1	solute carrier family 38 member 1 [Source:HGNC Symbol;Acc:HGNC:13447]	5945	0.126617893576622	-0.3063937	No	
row_34	FANCI	FA complementation group I [Source:HGNC Symbol;Acc:HGNC:25568]	6101	0.09151501953601837	-0.31867415	No	
row_35	ATAD2	ATPase family AAA domain containing 2 [Source:HGNC Symbol;Acc:HGNC:30123]	6217	0.07006695121526718	-0.3277652	No	
row_36	E2F8	E2F transcription factor 8 [Source:HGNC Symbol;Acc:HGNC:24727]	6298	0.0519183874130249	-0.33405977	No	
row_37	NETO2	neuropilin and tolloid like 2 [Source:HGNC Symbol;Acc:HGNC:14644]	6305	0.05060543492436409	-0.33409595	No	
row_38	PCNA	proliferating cell nuclear antigen [Source:HGNC Symbol;Acc:HGNC:8729]	6315	0.04862002283334732	-0.33440486	No	
row_39	ZWINT	ZW10 interacting kinetochore protein [Source:HGNC Symbol;Acc:HGNC:13195]	6514	0.0022117465268820524	-0.35116246	No	
row_40	ANP32E	acidic nuclear phosphoprotein 32 family member E [Source:HGNC Symbol;Acc:HGNC:16673]	6516	0.0017411907901987433	-0.35123095	No	
row_41	SPAG5	sperm associated antigen 5 [Source:HGNC Symbol;Acc:HGNC:13452]	6517	0.0013520264765247703	-0.35121834	No	
row_42	EZH2	enhancer of zeste 2 polycomb repressive complex 2 subunit [Source:HGNC Symbol;Acc:HGNC:3527]	6543	-0.003958332352340221	-0.35329986	No	
row_43	PAFAH1B3	platelet activating factor acetylhydrolase 1b catalytic subunit 3 [Source:HGNC Symbol;Acc:HGNC:8576]	6547	-0.004937536083161831	-0.353508	No	
