NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ADARB1	adenosine deaminase RNA specific B1 [Source:HGNC Symbol;Acc:HGNC:226]	326	2.0709915161132812	0.024658296	No	
row_1	EXOSC9	exosome component 9 [Source:HGNC Symbol;Acc:HGNC:9137]	2952	0.6505752205848694	-0.17979206	No	
row_2	ADH1B	alcohol dehydrogenase 1B (class I), beta polypeptide [Source:HGNC Symbol;Acc:HGNC:250]	2981	0.6452062726020813	-0.16592185	No	
row_3	PDP1	pyruvate dehydrogenase phosphatase catalytic subunit 1 [Source:HGNC Symbol;Acc:HGNC:9279]	3073	0.6223941445350647	-0.15792477	No	
row_4	IL12RB2	interleukin 12 receptor subunit beta 2 [Source:HGNC Symbol;Acc:HGNC:5972]	3223	0.5931969881057739	-0.15554081	No	
row_5	MAF	MAF bZIP transcription factor [Source:HGNC Symbol;Acc:HGNC:6776]	4001	0.44661745429039	-0.20966938	No	
row_6	KIF11	kinesin family member 11 [Source:HGNC Symbol;Acc:HGNC:6388]	4056	0.4421526789665222	-0.2030926	No	
row_7	BIRC5	baculoviral IAP repeat containing 5 [Source:HGNC Symbol;Acc:HGNC:593]	4233	0.40159034729003906	-0.20779833	No	
row_8	TK1	thymidine kinase 1 [Source:HGNC Symbol;Acc:HGNC:11830]	5059	0.2845621407032013	-0.27003995	No	
row_9	BUB1	BUB1 mitotic checkpoint serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:1148]	5360	0.21354158222675323	-0.28990537	No	
row_10	SPAG5	sperm associated antigen 5 [Source:HGNC Symbol;Acc:HGNC:13452]	6517	0.0013520264765247703	-0.38711226	No	
row_11	EZH2	enhancer of zeste 2 polycomb repressive complex 2 subunit [Source:HGNC Symbol;Acc:HGNC:3527]	6543	-0.003958332352340221	-0.3891157	No	
row_12	NUP62	nucleoporin 62 [Source:HGNC Symbol;Acc:HGNC:8066]	6654	-0.020916882902383804	-0.3978427	No	
row_13	PTTG1	PTTG1 regulator of sister chromatid separation, securin [Source:HGNC Symbol;Acc:HGNC:9690]	6720	-0.034988343715667725	-0.40243053	No	
