NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NR2F2	nuclear receptor subfamily 2 group F member 2 [Source:HGNC Symbol;Acc:HGNC:7976]	113	2.6059186458587646	0.013923466	No	
row_1	SIM2	SIM bHLH transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:10883]	177	2.3915176391601562	0.030136814	No	
row_2	TACC2	transforming acidic coiled-coil containing protein 2 [Source:HGNC Symbol;Acc:HGNC:11523]	348	2.0255467891693115	0.034024287	No	
row_3	ZNF395	zinc finger protein 395 [Source:HGNC Symbol;Acc:HGNC:18737]	397	1.9551342725753784	0.047574934	No	
row_4	DDX11	DEAD/H-box helicase 11 [Source:HGNC Symbol;Acc:HGNC:2736]	571	1.716672658920288	0.048428424	No	
row_5	GIT2	GIT ArfGAP 2 [Source:HGNC Symbol;Acc:HGNC:4273]	576	1.7138134241104126	0.06352018	No	
row_6	ARRDC3	arrestin domain containing 3 [Source:HGNC Symbol;Acc:HGNC:29263]	663	1.600136637687683	0.07066751	No	
row_7	GCNT1	glucosaminyl (N-acetyl) transferase 1 [Source:HGNC Symbol;Acc:HGNC:4203]	740	1.536548137664795	0.07808638	No	
row_8	KCTD3	potassium channel tetramerization domain containing 3 [Source:HGNC Symbol;Acc:HGNC:21305]	901	1.4047458171844482	0.077228844	No	
row_9	HOXA10	homeobox A10 [Source:HGNC Symbol;Acc:HGNC:5100]	1017	1.3236349821090698	0.07943918	No	
row_10	MAP3K5	mitogen-activated protein kinase kinase kinase 5 [Source:HGNC Symbol;Acc:HGNC:6857]	1463	1.0754952430725098	0.051562723	No	
row_11	IFFO2	intermediate filament family orphan 2 [Source:HGNC Symbol;Acc:HGNC:27006]	1499	1.0603560209274292	0.058154963	No	
row_12	SRGAP3	SLIT-ROBO Rho GTPase activating protein 3 [Source:HGNC Symbol;Acc:HGNC:19744]	1512	1.0524790287017822	0.06661754	No	
row_13	B3GALNT1	beta-1,3-N-acetylgalactosaminyltransferase 1 (globoside blood group) [Source:HGNC Symbol;Acc:HGNC:918]	1540	1.0417019128799438	0.073717065	No	
row_14	ABHD10	abhydrolase domain containing 10, depalmitoylase [Source:HGNC Symbol;Acc:HGNC:25656]	1604	1.0223941802978516	0.07760427	No	
row_15	GPCPD1	glycerophosphocholine phosphodiesterase 1 [Source:HGNC Symbol;Acc:HGNC:26957]	1746	0.9561559557914734	0.07431174	No	
row_16	NDUFV3	NADH:ubiquinone oxidoreductase subunit V3 [Source:HGNC Symbol;Acc:HGNC:7719]	2444	0.7639428377151489	0.022360984	No	
row_17	WDHD1	WD repeat and HMG-box DNA binding protein 1 [Source:HGNC Symbol;Acc:HGNC:23170]	2734	0.7025681138038635	0.004293863	No	
