NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SLC19A1	solute carrier family 19 member 1 [Source:HGNC Symbol;Acc:HGNC:10937]	167	2.436648368835449	0.041305497	No	
row_1	MPC2	mitochondrial pyruvate carrier 2 [Source:HGNC Symbol;Acc:HGNC:24515]	921	1.388122320175171	0.009516864	No	
row_2	NUF2	NUF2 component of NDC80 kinetochore complex [Source:HGNC Symbol;Acc:HGNC:14621]	2169	0.8276830911636353	-0.07654269	No	
row_3	CCDC34	coiled-coil domain containing 34 [Source:HGNC Symbol;Acc:HGNC:25079]	2731	0.7029489278793335	-0.10774975	No	
row_4	SKA1	spindle and kinetochore associated complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:28109]	2857	0.6709522008895874	-0.10302032	No	
row_5	FOXM1	forkhead box M1 [Source:HGNC Symbol;Acc:HGNC:3818]	3170	0.598761796951294	-0.11565555	No	
row_6	FAM72C	family with sequence similarity 72 member C [Source:HGNC Symbol;Acc:HGNC:30602]	3354	0.5864534378051758	-0.117722735	No	
row_7	BIRC5	baculoviral IAP repeat containing 5 [Source:HGNC Symbol;Acc:HGNC:593]	4233	0.40159034729003906	-0.18243174	No	
row_8	RFC4	replication factor C subunit 4 [Source:HGNC Symbol;Acc:HGNC:9972]	4367	0.3687138855457306	-0.18524039	No	
row_9	TRIP13	thyroid hormone receptor interactor 13 [Source:HGNC Symbol;Acc:HGNC:12307]	5358	0.2138276994228363	-0.2636325	No	
row_10	FANCI	FA complementation group I [Source:HGNC Symbol;Acc:HGNC:25568]	6101	0.09151501953601837	-0.32394862	No	
row_11	E2F8	E2F transcription factor 8 [Source:HGNC Symbol;Acc:HGNC:24727]	6298	0.0519183874130249	-0.33925098	No	
row_12	EZH2	enhancer of zeste 2 polycomb repressive complex 2 subunit [Source:HGNC Symbol;Acc:HGNC:3527]	6543	-0.003958332352340221	-0.35967904	No	
row_13	RRM2	ribonucleotide reductase regulatory subunit M2 [Source:HGNC Symbol;Acc:HGNC:10452]	6564	-0.008291048929095268	-0.36117253	No	
