NAME	TITLE	SCORE	
HSPA13	heat shock protein family A (Hsp70) member 13 [Source:HGNC Symbol;Acc:HGNC:11375]	7.656869	
SPRR3	small proline rich protein 3 [Source:HGNC Symbol;Acc:HGNC:11268]	7.083612	
KRT4	keratin 4 [Source:HGNC Symbol;Acc:HGNC:6441]	7.0822	
HPGD	15-hydroxyprostaglandin dehydrogenase [Source:HGNC Symbol;Acc:HGNC:5154]	4.113375	
ZNF770	zinc finger protein 770 [Source:HGNC Symbol;Acc:HGNC:26061]	3.7690399	
PPP1R13L	protein phosphatase 1 regulatory subunit 13 like [Source:HGNC Symbol;Acc:HGNC:18838]	3.7402818	
AASDH	aminoadipate-semialdehyde dehydrogenase [Source:HGNC Symbol;Acc:HGNC:23993]	3.663074	
MBNL3	muscleblind like splicing regulator 3 [Source:HGNC Symbol;Acc:HGNC:20564]	3.4981446	
IFT56	intraflagellar transport 56 [Source:HGNC Symbol;Acc:HGNC:21882]	3.4789412	
GREB1L	GREB1 like retinoic acid receptor coactivator [Source:HGNC Symbol;Acc:HGNC:31042]	3.4589865	
WASHC2A	WASH complex subunit 2A [Source:HGNC Symbol;Acc:HGNC:23416]	3.4378445	
NFE2L3	NFE2 like bZIP transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:7783]	3.3432333	
LRRC8B	leucine rich repeat containing 8 VRAC subunit B [Source:HGNC Symbol;Acc:HGNC:30692]	3.3302045	
ZNF490	zinc finger protein 490 [Source:HGNC Symbol;Acc:HGNC:23705]	3.327161	
NDST1	N-deacetylase and N-sulfotransferase 1 [Source:HGNC Symbol;Acc:HGNC:7680]	3.325544	
CFB	complement factor B [Source:HGNC Symbol;Acc:HGNC:1037]	3.319016	
DDX60L	DExD/H-box 60 like [Source:HGNC Symbol;Acc:HGNC:26429]	3.266452	
SMIM3	small integral membrane protein 3 [Source:HGNC Symbol;Acc:HGNC:30248]	3.2448533	
