NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	KRT4	keratin 4 [Source:HGNC Symbol;Acc:HGNC:6441]	2	7.082200050354004	0.16672072	Yes	
row_1	PSAP	prosaposin [Source:HGNC Symbol;Acc:HGNC:9498]	257	2.217193126678467	0.19759645	Yes	
row_2	AHCY	adenosylhomocysteinase [Source:HGNC Symbol;Acc:HGNC:343]	298	2.121354579925537	0.24421966	Yes	
row_3	KCNAB2	potassium voltage-gated channel subfamily A regulatory beta subunit 2 [Source:HGNC Symbol;Acc:HGNC:6229]	369	1.9966745376586914	0.28538066	Yes	
row_4	TF	transferrin [Source:HGNC Symbol;Acc:HGNC:11740]	558	1.7187845706939697	0.31006482	Yes	
row_5	ALDH1A1	aldehyde dehydrogenase 1 family member A1 [Source:HGNC Symbol;Acc:HGNC:402]	569	1.716672658920288	0.34967607	Yes	
row_6	SPP1	secreted phosphoprotein 1 [Source:HGNC Symbol;Acc:HGNC:11255]	631	1.6408475637435913	0.3832094	Yes	
row_7	PSMB10	proteasome 20S subunit beta 10 [Source:HGNC Symbol;Acc:HGNC:9538]	680	1.5903123617172241	0.41664574	Yes	
row_8	GBP1	guanylate binding protein 1 [Source:HGNC Symbol;Acc:HGNC:4182]	748	1.5306708812713623	0.447078	Yes	
row_9	ETFB	electron transfer flavoprotein subunit beta [Source:HGNC Symbol;Acc:HGNC:3482]	861	1.4418989419937134	0.47163206	Yes	
row_10	ADGRG2	adhesion G protein-coupled receptor G2 [Source:HGNC Symbol;Acc:HGNC:4516]	899	1.4048527479171753	0.50162363	Yes	
row_11	IFITM2	interferon induced transmembrane protein 2 [Source:HGNC Symbol;Acc:HGNC:5413]	1108	1.2602347135543823	0.51381946	Yes	
row_12	ISOC2	isochorismatase domain containing 2 [Source:HGNC Symbol;Acc:HGNC:26278]	1218	1.1927754878997803	0.5327555	Yes	
row_13	CTSV	cathepsin V [Source:HGNC Symbol;Acc:HGNC:2538]	1764	0.9486283659934998	0.5092534	No	
row_14	CTSD	cathepsin D [Source:HGNC Symbol;Acc:HGNC:2529]	1941	0.8860756754875183	0.51532483	No	
row_15	G6PD	glucose-6-phosphate dehydrogenase [Source:HGNC Symbol;Acc:HGNC:4057]	2297	0.7981677651405334	0.5042637	No	
row_16	SCIN	scinderin [Source:HGNC Symbol;Acc:HGNC:21695]	2552	0.7354840636253357	0.5002236	No	
row_17	PDGFRL	platelet derived growth factor receptor like [Source:HGNC Symbol;Acc:HGNC:8805]	3182	0.5978550910949707	0.46138793	No	
row_18	CD38	CD38 molecule [Source:HGNC Symbol;Acc:HGNC:1667]	3371	0.5864534378051758	0.4593892	No	
