NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PRSS3	serine protease 3 [Source:HGNC Symbol;Acc:HGNC:9486]	646	1.6302344799041748	0.107580826	Yes	
row_1	S100A9	S100 calcium binding protein A9 [Source:HGNC Symbol;Acc:HGNC:10499]	838	1.4527007341384888	0.2357099	Yes	
row_2	LCN2	lipocalin 2 [Source:HGNC Symbol;Acc:HGNC:6526]	895	1.4069733619689941	0.3706251	Yes	
row_3	HTN1	histatin 1 [Source:HGNC Symbol;Acc:HGNC:5283]	1233	1.1862801313400269	0.46007133	Yes	
row_4	ATOX1	antioxidant 1 copper chaperone [Source:HGNC Symbol;Acc:HGNC:798]	1672	0.9835182428359985	0.52092594	Yes	
row_5	LYZ	lysozyme [Source:HGNC Symbol;Acc:HGNC:6740]	1837	0.9292104244232178	0.59937435	Yes	
row_6	S100A8	S100 calcium binding protein A8 [Source:HGNC Symbol;Acc:HGNC:10498]	1953	0.8848168253898621	0.6775277	Yes	
row_7	TLR2	toll like receptor 2 [Source:HGNC Symbol;Acc:HGNC:11848]	2656	0.71342533826828	0.6894374	Yes	
row_8	ATP7A	ATPase copper transporting alpha [Source:HGNC Symbol;Acc:HGNC:869]	4382	0.3640647828578949	0.58087265	No	
row_9	PDZD11	PDZ domain containing 11 [Source:HGNC Symbol;Acc:HGNC:28034]	5581	0.20791755616664886	0.50101763	No	
row_10	SLC11A1	solute carrier family 11 member 1 [Source:HGNC Symbol;Acc:HGNC:10907]	6037	0.10516447573900223	0.47328824	No	
row_11	CLU	clusterin [Source:HGNC Symbol;Acc:HGNC:2095]	6062	0.10000863671302795	0.48119888	No	
row_12	CCR6	C-C motif chemokine receptor 6 [Source:HGNC Symbol;Acc:HGNC:1607]	7052	-0.113394595682621	0.40949503	No	
