NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SPRR3	small proline rich protein 3 [Source:HGNC Symbol;Acc:HGNC:11268]	1	7.083611965179443	0.091772094	Yes	
row_1	KRT4	keratin 4 [Source:HGNC Symbol;Acc:HGNC:6441]	2	7.082200050354004	0.18361025	Yes	
row_2	CFB	complement factor B [Source:HGNC Symbol;Acc:HGNC:1037]	15	3.3190159797668457	0.22563697	Yes	
row_3	ARSD	arylsulfatase D [Source:HGNC Symbol;Acc:HGNC:717]	30	3.077127695083618	0.26435828	Yes	
row_4	SPRR1A	small proline rich protein 1A [Source:HGNC Symbol;Acc:HGNC:11259]	50	2.928115129470825	0.30072537	Yes	
row_5	PROS1	protein S [Source:HGNC Symbol;Acc:HGNC:9456]	72	2.8210153579711914	0.33553493	Yes	
row_6	DCBLD1	discoidin, CUB and LCCL domain containing 1 [Source:HGNC Symbol;Acc:HGNC:21479]	245	2.2508575916290283	0.35021052	Yes	
row_7	DNASE1L3	deoxyribonuclease 1 like 3 [Source:HGNC Symbol;Acc:HGNC:2959]	312	2.0979397296905518	0.3718468	Yes	
row_8	MYBL1	MYB proto-oncogene like 1 [Source:HGNC Symbol;Acc:HGNC:7547]	523	1.7617169618606567	0.37697327	Yes	
row_9	TF	transferrin [Source:HGNC Symbol;Acc:HGNC:11740]	558	1.7187845706939697	0.39639282	Yes	
row_10	CNTNAP3	contactin associated protein family member 3 [Source:HGNC Symbol;Acc:HGNC:13834]	659	1.6087992191314697	0.40881747	Yes	
row_11	SERPINB3	serpin family B member 3 [Source:HGNC Symbol;Acc:HGNC:10569]	714	1.5564602613449097	0.42444462	Yes	
row_12	KRT6B	keratin 6B [Source:HGNC Symbol;Acc:HGNC:6444]	806	1.4793179035186768	0.4359496	Yes	
row_13	S100A9	S100 calcium binding protein A9 [Source:HGNC Symbol;Acc:HGNC:10499]	838	1.4527007341384888	0.45217183	Yes	
row_14	LCN2	lipocalin 2 [Source:HGNC Symbol;Acc:HGNC:6526]	895	1.4069733619689941	0.46569178	Yes	
row_15	DNAJC6	DnaJ heat shock protein family (Hsp40) member C6 [Source:HGNC Symbol;Acc:HGNC:15469]	1039	1.3068348169326782	0.47057262	Yes	
row_16	GREB1	growth regulating estrogen receptor binding 1 [Source:HGNC Symbol;Acc:HGNC:24885]	1694	0.9765907526016235	0.42805597	No	
row_17	DMKN	dermokine [Source:HGNC Symbol;Acc:HGNC:25063]	1899	0.9027294516563416	0.42254978	No	
row_18	S100A8	S100 calcium binding protein A8 [Source:HGNC Symbol;Acc:HGNC:10498]	1953	0.8848168253898621	0.4295518	No	
row_19	HRCT1	histidine rich carboxyl terminus 1 [Source:HGNC Symbol;Acc:HGNC:33872]	2270	0.8028404712677002	0.41330042	No	
row_20	ASS1	argininosuccinate synthase 1 [Source:HGNC Symbol;Acc:HGNC:758]	2379	0.7783645391464233	0.41428146	No	
row_21	FBXO2	F-box protein 2 [Source:HGNC Symbol;Acc:HGNC:13581]	2480	0.7529318332672119	0.4156077	No	
row_22	BEND7	BEN domain containing 7 [Source:HGNC Symbol;Acc:HGNC:23514]	2576	0.7275388240814209	0.4170265	No	
row_23	ST8SIA1	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:10869]	2696	0.71342533826828	0.4162373	No	
row_24	C7	complement C7 [Source:HGNC Symbol;Acc:HGNC:1346]	2785	0.693859875202179	0.41781	No	
row_25	LAMA1	laminin subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:6481]	2901	0.6586766839027405	0.41664836	No	
