NAME	# MATCHING PROBE SETS	MATCHING PROBE SET(S)	
HSPA13	1	ENSG00000155304	
SPRR3	1	ENSG00000163209	
KRT4	1	ENSG00000170477	
HPGD	1	ENSG00000164120	
ZNF770	1	ENSG00000198146	
PPP1R13L	1	ENSG00000104881	
AASDH	1	ENSG00000157426	
MBNL3	1	ENSG00000076770	
IFT56	1	ENSG00000105948	
GREB1L	1	ENSG00000141449	
WASHC2A	1	ENSG00000099290	
NFE2L3	1	ENSG00000050344	
LRRC8B	1	ENSG00000197147	
ZNF490	1	ENSG00000188033	
NDST1	1	ENSG00000070614	
CFB	1	ENSG00000243649	
DDX60L	1	ENSG00000181381	
SMIM3	1	ENSG00000256235	
ARAP1	1	ENSG00000186635	
MTARC1	1	ENSG00000186205	
NECTIN4	1	ENSG00000143217	
DCK	1	ENSG00000156136	
ZNF680	1	ENSG00000173041	
MED14	1	ENSG00000180182	
LTBP1	1	ENSG00000049323	
USP9X	1	ENSG00000124486	
LRBA	1	ENSG00000198589	
ZCWPW1	1	ENSG00000078487	
EMP1	1	ENSG00000134531	
RBM5	1	ENSG00000003756	
ARSD	1	ENSG00000006756	
FOXN1	1	ENSG00000109101	
ANKMY2	1	ENSG00000106524	
LMTK2	1	ENSG00000164715	
ZNF268	1	ENSG00000090612	
FABP4	1	ENSG00000170323	
ABCG2	1	ENSG00000118777	
CBR1	1	ENSG00000159228	
FBXO32	1	ENSG00000156804	
KLK9	1	ENSG00000213022	
SARAF	1	ENSG00000133872	
PRKX	1	ENSG00000183943	
COQ7	1	ENSG00000167186	
BRWD3	1	ENSG00000165288	
RHCG	1	ENSG00000140519	
ZNF189	1	ENSG00000136870	
ANO10	1	ENSG00000160746	
EIF4EP1	1	ENSG00000233578	
HERC2P2	1	ENSG00000276550	
HEMK1	1	ENSG00000114735	
SPRR1A	1	ENSG00000169474	
ZSCAN21	1	ENSG00000166529	
FAM184B	1	ENSG00000047662	
MTOR	1	ENSG00000198793	
TRAM2	1	ENSG00000065308	
SEMA3D	1	ENSG00000153993	
OSCP1	1	ENSG00000116885	
MOSPD1	1	ENSG00000101928	
SNX24	1	ENSG00000064652	
UBR5	1	ENSG00000104517	
TP53BP1	1	ENSG00000067369	
RASAL2	1	ENSG00000075391	
TCEAL8	1	ENSG00000180964	
WWC2	1	ENSG00000151718	
DIPK1A	1	ENSG00000154511	
ATP8B1	1	ENSG00000081923	
GXYLT1	1	ENSG00000151233	
ERBB3	1	ENSG00000065361	
ZNF887P	1	ENSG00000267500	
TMED9	1	ENSG00000184840	
PARP9	1	ENSG00000138496	
ERVK3-1	1	ENSG00000142396	
PROS1	1	ENSG00000184500	
CCT8P1	1	ENSG00000226015	
TMEM135	1	ENSG00000166575	
EIF3CL	1	ENSG00000205609	
ZNF597	1	ENSG00000167981	
RBM41	1	ENSG00000089682	
PRSS8	1	ENSG00000052344	
SCMH1	1	ENSG00000010803	
ZNF252P	1	ENSG00000196922	
ARHGEF11	1	ENSG00000132694	
TMEM231	1	ENSG00000205084	
ARIH1	1	ENSG00000166233	
FBXW10B	1	ENSG00000241322	
SLC29A1	1	ENSG00000112759	
NMNAT2	1	ENSG00000157064	
SGK3	1	ENSG00000104205	
RAI14	1	ENSG00000039560	
AAR2	1	ENSG00000131043	
ZNF620	1	ENSG00000177842	
ARG2	1	ENSG00000081181	
FBXO38	1	ENSG00000145868	
MCTS2	1	ENSG00000101898	
PCDH1	1	ENSG00000156453	
DHX29	1	ENSG00000067248	
TCF12	1	ENSG00000140262	
PRMT7	1	ENSG00000132600	
ASH2L	1	ENSG00000129691	
TMEM120B	1	ENSG00000188735	
PRIMPOL	1	ENSG00000164306	
DIABLO	1	ENSG00000184047	
POMT2	1	ENSG00000009830	
FBLN1	1	ENSG00000077942	
NOTCH2NLC	1	ENSG00000286219	
FADS2	1	ENSG00000134824	
HPS3	1	ENSG00000163755	
ULBP2	1	ENSG00000131015	
BBS12	1	ENSG00000181004	
OASL	1	ENSG00000135114	
RAD54L2	1	ENSG00000164080	
ZNF561	1	ENSG00000171469	
ZXDC	1	ENSG00000070476	
NR2F2	1	ENSG00000185551	
AAGAB	1	ENSG00000103591	
ADGRE2	1	ENSG00000127507	
RAPGEF6	1	ENSG00000158987	
DAP	1	ENSG00000112977	
ECSIT	1	ENSG00000130159	
POLR3B	1	ENSG00000013503	
CIART	1	ENSG00000159208	
TMEM38A	1	ENSG00000072954	
PIGO	1	ENSG00000165282	
ZDHHC7	1	ENSG00000153786	
NEK7	1	ENSG00000151414	
DGKI	1	ENSG00000157680	
PLA2G4A	1	ENSG00000116711	
LRRN3	1	ENSG00000173114	
PCYT1A	1	ENSG00000161217	
FAM200C	1	ENSG00000221886	
PLAC1	1	ENSG00000170965	
TMEM67	1	ENSG00000164953	
UBE3C	1	ENSG00000009335	
IGF2R	1	ENSG00000197081	
MED13L	1	ENSG00000123066	
BBS4	1	ENSG00000140463	
PIK3R1	1	ENSG00000145675	
ZSWIM3	1	ENSG00000132801	
FRMD5	1	ENSG00000171877	
ZNF383	1	ENSG00000188283	
CASD1	1	ENSG00000127995	
PTGES	1	ENSG00000148344	
COL28A1	1	ENSG00000215018	
SLC39A10	1	ENSG00000196950	
PLD1	1	ENSG00000075651	
EIF4ENIF1	1	ENSG00000184708	
ALKBH1	1	ENSG00000100601	
SH3RF1	1	ENSG00000154447	
TLR6	1	ENSG00000174130	
NCDN	1	ENSG00000020129	
CSF1R	1	ENSG00000182578	
PTAFR	1	ENSG00000169403	
DPY19L1	1	ENSG00000173852	
RABL3	1	ENSG00000144840	
DUSP18	1	ENSG00000167065	
COA7	1	ENSG00000162377	
ZNF600	1	ENSG00000189190	
