NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
ABBUD_LIF_SIGNALING_1_DN	28	19		
ABBUD_LIF_SIGNALING_1_UP	43	25		
ABBUD_LIF_SIGNALING_2_DN	7	6		
ABBUD_LIF_SIGNALING_2_UP	13	12		
ABDELMOHSEN_ELAVL4_TARGETS	16	13		
ABDULRAHMAN_KIDNEY_CANCER_VHL_DN	13	10		
ABE_INNER_EAR	43	26		
ABE_VEGFA_TARGETS	19	13		
ABE_VEGFA_TARGETS_2HR	35	24		
ABE_VEGFA_TARGETS_30MIN	29	16		
ABRAHAM_ALPC_VS_MULTIPLE_MYELOMA_DN	20	20		
ABRAHAM_ALPC_VS_MULTIPLE_MYELOMA_UP	26	20		
ABRAMSON_INTERACT_WITH_AIRE	44	42		
ACEVEDO_LIVER_CANCER_DN	540	358		
ACEVEDO_LIVER_CANCER_UP	972	808		
ACEVEDO_LIVER_CANCER_WITH_H3K27ME3_DN	222	107		
ACEVEDO_LIVER_CANCER_WITH_H3K27ME3_UP	290	145		
ACEVEDO_LIVER_CANCER_WITH_H3K9ME3_DN	119	67		
ACEVEDO_LIVER_CANCER_WITH_H3K9ME3_UP	139	59		
ACEVEDO_LIVER_TUMOR_VS_NORMAL_ADJACENT_TISSUE_DN	274	174		
ACEVEDO_LIVER_TUMOR_VS_NORMAL_ADJACENT_TISSUE_UP	863	729		
ACEVEDO_METHYLATED_IN_LIVER_CANCER_DN	873	381		
ACEVEDO_NORMAL_TISSUE_ADJACENT_TO_LIVER_TUMOR_DN	354	260		
ACEVEDO_NORMAL_TISSUE_ADJACENT_TO_LIVER_TUMOR_UP	173	131		
ACOSTA_PROLIFERATION_INDEPENDENT_MYC_TARGETS_DN	116	84		
ACOSTA_PROLIFERATION_INDEPENDENT_MYC_TARGETS_UP	84	70		
ADDYA_ERYTHROID_DIFFERENTIATION_BY_HEMIN	74	56		
AFFAR_YY1_TARGETS_DN	260	179		
AFFAR_YY1_TARGETS_UP	199	115		
AGARWAL_AKT_PATHWAY_TARGETS	11	8		
AGUIRRE_PANCREATIC_CANCER_COPY_NUMBER_DN	237	203		
AGUIRRE_PANCREATIC_CANCER_COPY_NUMBER_UP	303	242		
AIGNER_ZEB1_TARGETS	35	31		
AIYAR_COBRA1_TARGETS_DN	29	26		
AIYAR_COBRA1_TARGETS_UP	40	28		
AKL_HTLV1_INFECTION_DN	69	51		
AKL_HTLV1_INFECTION_UP	27	25		
ALCALAY_AML_BY_NPM1_LOCALIZATION_DN	186	132		
ALCALAY_AML_BY_NPM1_LOCALIZATION_UP	140	93		
ALCALA_APOPTOSIS	87	75		
ALFANO_MYC_TARGETS	239	179		
ALONSO_METASTASIS_DN	26	14		
ALONSO_METASTASIS_EMT_DN	5		Rejected!	
ALONSO_METASTASIS_EMT_UP	35	24		
ALONSO_METASTASIS_NEURAL_UP	18	10		
ALONSO_METASTASIS_UP	194	167		
ALTEMEIER_RESPONSE_TO_LPS_WITH_MECHANICAL_VENTILATION	125	70		
AMBROSINI_FLAVOPIRIDOL_TREATMENT_TP53	107	73		
AMIT_DELAYED_EARLY_GENES	18	17		
AMIT_EGF_RESPONSE_120_HELA	68	54		
AMIT_EGF_RESPONSE_120_MCF10A	41	31		
AMIT_EGF_RESPONSE_20_HELA	12	11		
AMIT_EGF_RESPONSE_20_MCF10A	12	10		
AMIT_EGF_RESPONSE_240_HELA	59	51		
AMIT_EGF_RESPONSE_240_MCF10A	21	21		
AMIT_EGF_RESPONSE_40_HELA	42	38		
AMIT_EGF_RESPONSE_40_MCF10A	17	16		
AMIT_EGF_RESPONSE_480_HELA	164	131		
AMIT_EGF_RESPONSE_480_MCF10A	43	34		
AMIT_EGF_RESPONSE_60_HELA	47	38		
AMIT_EGF_RESPONSE_60_MCF10A	39	36		
AMIT_SERUM_RESPONSE_120_MCF10A	65	57		
AMIT_SERUM_RESPONSE_20_MCF10A	17	13		
AMIT_SERUM_RESPONSE_240_MCF10A	57	49		
AMIT_SERUM_RESPONSE_40_MCF10A	32	29		
AMIT_SERUM_RESPONSE_480_MCF10A	39	32		
AMIT_SERUM_RESPONSE_60_MCF10A	58	54		
AMUNDSON_DNA_DAMAGE_RESPONSE_TP53	16	13		
AMUNDSON_RESPONSE_TO_ARSENITE	219	178		
ANASTASSIOU_MULTICANCER_INVASIVENESS_SIGNATURE	64	26		
ANDERSEN_CHOLANGIOCARCINOMA_CLASS1	63	34		
ANDERSEN_CHOLANGIOCARCINOMA_CLASS2	175	122		
ANDERSEN_LIVER_CANCER_KRT19_DN	75	33		
ANDERSEN_LIVER_CANCER_KRT19_UP	35	29		
APPEL_IMATINIB_RESPONSE	33	26		
APPIERTO_RESPONSE_TO_FENRETINIDE_DN	51	46		
APPIERTO_RESPONSE_TO_FENRETINIDE_UP	38	31		
APRELIKOVA_BRCA1_TARGETS	48	41		
ASGHARZADEH_NEUROBLASTOMA_POOR_SURVIVAL_DN	43	27		
ASTIER_INTEGRIN_SIGNALING	58	40		
ASTON_MAJOR_DEPRESSIVE_DISORDER_DN	160	115		
ASTON_MAJOR_DEPRESSIVE_DISORDER_UP	49	32		
AUJLA_IL22_AND_IL17A_SIGNALING	11		Rejected!	
AUNG_GASTRIC_CANCER	52	36		
AZARE_NEOPLASTIC_TRANSFORMATION_BY_STAT3_DN	18	15		
AZARE_NEOPLASTIC_TRANSFORMATION_BY_STAT3_UP	126	98		
AZARE_STAT3_TARGETS	24	21		
BACOLOD_RESISTANCE_TO_ALKYLATING_AGENTS_DN	52	39		
BACOLOD_RESISTANCE_TO_ALKYLATING_AGENTS_UP	25	16		
BAELDE_DIABETIC_NEPHROPATHY_DN	437	353		
BAELDE_DIABETIC_NEPHROPATHY_UP	89	47		
BAE_BRCA1_TARGETS_DN	30	26		
BAE_BRCA1_TARGETS_UP	71	66		
BAFNA_MUC4_TARGETS_UP	5		Rejected!	
BAKER_HEMATOPOESIS_STAT1_TARGETS	10	8		
BAKER_HEMATOPOESIS_STAT5_TARGETS	7		Rejected!	
BAKER_HEMATOPOIESIS_STAT3_TARGETS	15	10		
BAKKER_FOXO3_TARGETS_DN	176	122		
BAKKER_FOXO3_TARGETS_UP	55	41		
BALDWIN_PRKCI_TARGETS_UP	40	34		
BALLIF_DEVELOPMENTAL_DISABILITY_P16_P12_DELETION	13	6		
BANDRES_RESPONSE_TO_CARMUSTIN_MGMT_24HR_DN	33	17		
BANDRES_RESPONSE_TO_CARMUSTIN_MGMT_24HR_UP	9	7		
BANDRES_RESPONSE_TO_CARMUSTIN_MGMT_48HR_DN	160	80		
BANDRES_RESPONSE_TO_CARMUSTIN_MGMT_48HR_UP	19	13		
BANDRES_RESPONSE_TO_CARMUSTIN_WITHOUT_MGMT_24HR_DN	9	8		
BANDRES_RESPONSE_TO_CARMUSTIN_WITHOUT_MGMT_24HR_UP	14	10		
BANDRES_RESPONSE_TO_CARMUSTIN_WITHOUT_MGMT_48HR_DN	32	18		
BANDRES_RESPONSE_TO_CARMUSTIN_WITHOUT_MGMT_48HR_UP	18	13		
BANG_VERTEPORFIN_ENDOMETRIAL_CANCER_CELLS_DN	20		Rejected!	
