NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
FISCHER_G2_M_CELL_CYCLE	FISCHER_G2_M_CELL_CYCLE	Details ...	220	-0.4809473	-2.272054	0.0	0.011624866	0.011	2437	tags=42%, list=20%, signal=52%	
PID_AURORA_B_PATHWAY	PID_AURORA_B_PATHWAY	Details ...	34	-0.6428845	-2.2153509	0.0	0.009706354	0.019	1523	tags=41%, list=13%, signal=47%	
REACTOME_APC_CDC20_MEDIATED_DEGRADATION_OF_NEK2A	REACTOME_APC_CDC20_MEDIATED_DEGRADATION_OF_NEK2A	Details ...	24	-0.68767434	-2.1913588	0.0	0.0084054805	0.025	1574	tags=46%, list=13%, signal=53%	
FURUKAWA_DUSP6_TARGETS_PCI35_DN	FURUKAWA_DUSP6_TARGETS_PCI35_DN	Details ...	58	-0.5551868	-2.1461873	0.0	0.01450026	0.056	2165	tags=45%, list=18%, signal=54%	
REACTOME_INHIBITION_OF_THE_PROTEOLYTIC_ACTIVITY_OF_APC_C_REQUIRED_FOR_THE_ONSET_OF_ANAPHASE_BY_MITOTIC_SPINDLE_CHECKPOINT_COMPONENTS	REACTOME_INHIBITION_OF_THE_PROTEOLYTIC_ACTIVITY_OF_APC_C_REQUIRED_FOR_THE_ONSET_OF_ANAPHASE_BY_MITOTIC_SPINDLE_CHECKPOINT_COMPONENTS	Details ...	19	-0.7157046	-2.1412287	0.0	0.012184212	0.059	1574	tags=53%, list=13%, signal=61%	
ROSTY_CERVICAL_CANCER_PROLIFERATION_CLUSTER	ROSTY_CERVICAL_CANCER_PROLIFERATION_CLUSTER	Details ...	134	-0.48342347	-2.1204681	0.0	0.015004539	0.089	2330	tags=38%, list=20%, signal=47%	
ZHAN_MULTIPLE_MYELOMA_PR_UP	ZHAN_MULTIPLE_MYELOMA_PR_UP	Details ...	43	-0.5824329	-2.0928557	0.0	0.021300728	0.143	1793	tags=44%, list=15%, signal=52%	
WHITFIELD_CELL_CYCLE_LITERATURE	WHITFIELD_CELL_CYCLE_LITERATURE	Details ...	40	-0.58844674	-2.0774364	0.0	0.02323643	0.178	2330	tags=45%, list=20%, signal=56%	
ZHANG_RESPONSE_TO_IKK_INHIBITOR_AND_TNF_DN	ZHANG_RESPONSE_TO_IKK_INHIBITOR_AND_TNF_DN	Details ...	87	-0.501494	-2.0631096	0.0	0.028074076	0.232	1386	tags=33%, list=12%, signal=37%	
REACTOME_APC_C_CDC20_MEDIATED_DEGRADATION_OF_CYCLIN_B	REACTOME_APC_C_CDC20_MEDIATED_DEGRADATION_OF_CYCLIN_B	Details ...	22	-0.6644736	-2.0467734	0.0	0.033301182	0.287	1574	tags=41%, list=13%, signal=47%	
