NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
MOSERLE_IFNA_RESPONSE	MOSERLE_IFNA_RESPONSE	Details ...	24	0.6880418	2.1847713	0.0	0.019694103	0.019	1754	tags=54%, list=15%, signal=63%	
KEGG_MEDICUS_VARIANT_AMPLIFIED_FGFR_TO_PI3K_SIGNALING_PATHWAY	KEGG_MEDICUS_VARIANT_AMPLIFIED_FGFR_TO_PI3K_SIGNALING_PATHWAY	Details ...	9	0.8797955	2.1215546	0.0	0.03311693	0.061	308	tags=44%, list=3%, signal=46%	
GENTILE_UV_HIGH_DOSE_UP	GENTILE_UV_HIGH_DOSE_UP	Details ...	15	0.7610437	2.0974836	0.0	0.034104176	0.096	2498	tags=87%, list=21%, signal=109%	
BLANCO_MELO_COVID19_SARS_COV_2_INFECTION_A594_ACE2_EXPRESSING_CELLS_RUXOLITINIB_DN	BLANCO_MELO_COVID19_SARS_COV_2_INFECTION_A594_ACE2_EXPRESSING_CELLS_RUXOLITINIB_DN	Details ...	50	0.5327555	2.0129673	0.0	0.12077748	0.38	1218	tags=26%, list=10%, signal=29%	
WP_MICROGLIA_PATHOGEN_PHAGOCYTOSIS_PATHWAY	WP_MICROGLIA_PATHOGEN_PHAGOCYTOSIS_PATHWAY	Details ...	20	0.6734196	2.0055442	0.0	0.106121965	0.403	1538	tags=40%, list=13%, signal=46%	
KEGG_MEDICUS_REFERENCE_TGFA_EGFR_PI3K_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_TGFA_EGFR_PI3K_SIGNALING_PATHWAY	Details ...	9	0.8162313	1.9817333	0.0	0.12767056	0.522	308	tags=33%, list=3%, signal=34%	
SENGUPTA_NASOPHARYNGEAL_CARCINOMA_WITH_LMP1_DN	SENGUPTA_NASOPHARYNGEAL_CARCINOMA_WITH_LMP1_DN	Details ...	83	0.47057262	1.9686586	0.0	0.13231078	0.597	1039	tags=19%, list=9%, signal=21%	
KAMIKUBO_MYELOID_CEBPA_NETWORK	KAMIKUBO_MYELOID_CEBPA_NETWORK	Details ...	19	0.6612945	1.9675102	0.0	0.11784202	0.604	2463	tags=58%, list=21%, signal=73%	
KEGG_MEDICUS_VARIANT_MUTATION_ACTIVATED_RET_TO_PI3K_SIGNALING_PATHWAY	KEGG_MEDICUS_VARIANT_MUTATION_ACTIVATED_RET_TO_PI3K_SIGNALING_PATHWAY	Details ...	7	0.8778694	1.9519527	0.0	0.13344021	0.691	308	tags=43%, list=3%, signal=44%	
KEGG_MEDICUS_VARIANT_AMPLIFIED_PDGFR_TO_PI3K_SIGNALING_PATHWAY	KEGG_MEDICUS_VARIANT_AMPLIFIED_PDGFR_TO_PI3K_SIGNALING_PATHWAY	Details ...	7	0.8778694	1.9449672	0.0	0.13351586	0.725	308	tags=43%, list=3%, signal=44%	
KEGG_MEDICUS_ENV_FACTOR_NNK_NNN_TO_PI3K_SIGNALING_PATHWAY_N01339	KEGG_MEDICUS_ENV_FACTOR_NNK_NNN_TO_PI3K_SIGNALING_PATHWAY_N01339	Details ...	11	0.7455284	1.9138033	0.003868472	0.18745898	0.86	308	tags=27%, list=3%, signal=28%	
KEGG_MEDICUS_VARIANT_AMPLIFIED_EGFR_TO_PI3K_SIGNALING_PATHWAY	KEGG_MEDICUS_VARIANT_AMPLIFIED_EGFR_TO_PI3K_SIGNALING_PATHWAY	Details ...	8	0.82995975	1.9136411	0.0	0.17218168	0.861	308	tags=38%, list=3%, signal=38%	
DELACROIX_RAR_TARGETS_UP	DELACROIX_RAR_TARGETS_UP	Details ...	31	0.5754746	1.9106213	0.0	0.1655293	0.873	3082	tags=61%, list=26%, signal=82%	
ZHENG_IL22_SIGNALING_UP	ZHENG_IL22_SIGNALING_UP	Details ...	34	0.54690856	1.905814	0.0	0.16402128	0.891	1953	tags=47%, list=16%, signal=56%	
WP_RESOLVIN_E1_AND_RESOLVIN_D1_SIGNALING_DECREASE_INFLAMMATION	WP_RESOLVIN_E1_AND_RESOLVIN_D1_SIGNALING_DECREASE_INFLAMMATION	Details ...	7	0.85553837	1.8921123	0.0	0.1840478	0.929	308	tags=43%, list=3%, signal=44%	
YAO_TEMPORAL_RESPONSE_TO_PROGESTERONE_CLUSTER_1	YAO_TEMPORAL_RESPONSE_TO_PROGESTERONE_CLUSTER_1	Details ...	49	0.5116691	1.884952	0.0	0.18974677	0.947	2906	tags=47%, list=24%, signal=62%	
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY	KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY	Details ...	55	0.48626098	1.8654149	0.0	0.22774442	0.975	1464	tags=31%, list=12%, signal=35%	
MURATA_VIRULENCE_OF_H_PILORI	MURATA_VIRULENCE_OF_H_PILORI	Details ...	10	0.73781145	1.8472106	0.0019646366	0.27134025	0.989	2079	tags=70%, list=17%, signal=85%	
REACTOME_ANTIMICROBIAL_PEPTIDES	REACTOME_ANTIMICROBIAL_PEPTIDES	Details ...	13	0.6894374	1.8432618	0.0	0.26953202	0.99	2656	tags=62%, list=22%, signal=79%	
KEGG_MEDICUS_REFERENCE_BCR_BCAP_CD19_PI3K_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_BCR_BCAP_CD19_PI3K_SIGNALING_PATHWAY	Details ...	11	0.7123481	1.8307866	0.0020283975	0.29670352	0.995	1464	tags=45%, list=12%, signal=52%	
WP_GPCRS_CLASS_B_SECRETINLIKE	WP_GPCRS_CLASS_B_SECRETINLIKE		9	0.74949145	1.8296705	0.0040241447	0.28650823	0.995	2458	tags=78%, list=21%, signal=98%	
KEGG_MEDICUS_VARIANT_AMPLIFIED_MET_TO_PI3K_SIGNALING_PATHWAY	KEGG_MEDICUS_VARIANT_AMPLIFIED_MET_TO_PI3K_SIGNALING_PATHWAY		9	0.74176764	1.8276854	0.010121457	0.28010246	0.996	308	tags=33%, list=3%, signal=34%	
KEGG_MEDICUS_REFERENCE_PDGF_PDGFR_PI3K_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_PDGF_PDGFR_PI3K_SIGNALING_PATHWAY		10	0.73151445	1.820168	0.0	0.2937138	0.998	308	tags=30%, list=3%, signal=31%	
KEGG_MEDICUS_REFERENCE_AREG_EGFR_PI3K_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_AREG_EGFR_PI3K_SIGNALING_PATHWAY		11	0.7009765	1.8179841	0.0	0.2892199	0.998	308	tags=27%, list=3%, signal=28%	
LIN_SILENCED_BY_TUMOR_MICROENVIRONMENT	LIN_SILENCED_BY_TUMOR_MICROENVIRONMENT		73	0.44661754	1.8146999	0.0020242915	0.2885526	0.998	2624	tags=37%, list=22%, signal=47%	
KEGG_MEDICUS_REFERENCE_NRG_ERBB4_PI3K_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_NRG_ERBB4_PI3K_SIGNALING_PATHWAY		8	0.7881404	1.8109344	0.003992016	0.28975406	0.999	308	tags=25%, list=3%, signal=26%	
KEGG_MEDICUS_REFERENCE_CD80_CD86_CD28_PI3K_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_CD80_CD86_CD28_PI3K_SIGNALING_PATHWAY		8	0.785569	1.8076783	0.001984127	0.289692	1.0	308	tags=38%, list=3%, signal=38%	
BIOCARTA_NKCELLS_PATHWAY	BIOCARTA_NKCELLS_PATHWAY		16	0.6229867	1.8076683	0.0041067763	0.27934584	1.0	2147	tags=38%, list=18%, signal=46%	
GARGALOVIC_RESPONSE_TO_OXIDIZED_PHOSPHOLIPIDS_SALMON_DN	GARGALOVIC_RESPONSE_TO_OXIDIZED_PHOSPHOLIPIDS_SALMON_DN		9	0.7454322	1.8042965	0.002074689	0.27933714	1.0	2369	tags=89%, list=20%, signal=111%	
KANG_CISPLATIN_RESISTANCE_UP	KANG_CISPLATIN_RESISTANCE_UP		20	0.5945004	1.7959746	0.004056795	0.2975162	1.0	2213	tags=50%, list=19%, signal=61%	
