NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	KNTC1	kinetochore associated 1 [Source:HGNC Symbol;Acc:HGNC:17255]	612	1.6629871129989624	-0.032424357	No	
row_1	CENPK	centromere protein K [Source:HGNC Symbol;Acc:HGNC:29479]	1012	1.3254945278167725	-0.05076472	No	
row_2	PPP2R5A	protein phosphatase 2 regulatory subunit B'alpha [Source:HGNC Symbol;Acc:HGNC:9309]	1123	1.253164529800415	-0.04552297	No	
row_3	NUP37	nucleoporin 37 [Source:HGNC Symbol;Acc:HGNC:29929]	1634	0.997408926486969	-0.07704896	No	
row_4	DYNC1H1	dynein cytoplasmic 1 heavy chain 1 [Source:HGNC Symbol;Acc:HGNC:2961]	1825	0.934602677822113	-0.082262784	No	
row_5	NUP133	nucleoporin 133 [Source:HGNC Symbol;Acc:HGNC:18016]	1871	0.9148651957511902	-0.07545273	No	
row_6	RANGAP1	Ran GTPase activating protein 1 [Source:HGNC Symbol;Acc:HGNC:9854]	1971	0.8783435225486755	-0.07362947	No	
row_7	PPP2R1A	protein phosphatase 2 scaffold subunit Aalpha [Source:HGNC Symbol;Acc:HGNC:9302]	2026	0.8698099255561829	-0.06810259	No	
row_8	NUF2	NUF2 component of NDC80 kinetochore complex [Source:HGNC Symbol;Acc:HGNC:14621]	2169	0.8276830911636353	-0.0705006	No	
row_9	NUP107	nucleoporin 107 [Source:HGNC Symbol;Acc:HGNC:29914]	2598	0.7214184999465942	-0.09829895	No	
row_10	NUDC	nuclear distribution C, dynein complex regulator [Source:HGNC Symbol;Acc:HGNC:8045]	2817	0.6860798001289368	-0.108761765	No	
row_11	SKA1	spindle and kinetochore associated complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:28109]	2857	0.6709522008895874	-0.10427415	No	
row_12	CLIP1	CAP-Gly domain containing linker protein 1 [Source:HGNC Symbol;Acc:HGNC:10461]	3034	0.6348090767860413	-0.11178262	No	
row_13	NDE1	nudE neurodevelopment protein 1 [Source:HGNC Symbol;Acc:HGNC:17619]	3064	0.6263315081596375	-0.10696759	No	
row_14	DSN1	DSN1 component of MIS12 kinetochore complex [Source:HGNC Symbol;Acc:HGNC:16165]	3151	0.6022946238517761	-0.10724803	No	
row_15	MAD1L1	mitotic arrest deficient 1 like 1 [Source:HGNC Symbol;Acc:HGNC:6762]	3284	0.5864534378051758	-0.11159933	No	
row_16	CLASP2	cytoplasmic linker associated protein 2 [Source:HGNC Symbol;Acc:HGNC:17078]	3412	0.5766317844390869	-0.11564206	No	
row_17	TAOK1	TAO kinase 1 [Source:HGNC Symbol;Acc:HGNC:29259]	3519	0.5512157678604126	-0.11820507	No	
row_18	ANAPC11	anaphase promoting complex subunit 11 [Source:HGNC Symbol;Acc:HGNC:14452]	3799	0.48374736309051514	-0.13616963	No	
row_19	CENPH	centromere protein H [Source:HGNC Symbol;Acc:HGNC:17268]	3857	0.4738352596759796	-0.13548966	No	
row_20	CDC26	cell division cycle 26 [Source:HGNC Symbol;Acc:HGNC:17839]	4090	0.4340428113937378	-0.1500592	No	
row_21	CENPS	centromere protein S [Source:HGNC Symbol;Acc:HGNC:23163]	4097	0.4324702322483063	-0.14554945	No	
row_22	ANAPC4	anaphase promoting complex subunit 4 [Source:HGNC Symbol;Acc:HGNC:19990]	4126	0.4258340895175934	-0.14297573	No	
row_23	BIRC5	baculoviral IAP repeat containing 5 [Source:HGNC Symbol;Acc:HGNC:593]	4233	0.40159034729003906	-0.14727443	No	
row_24	MAPRE1	microtubule associated protein RP/EB family member 1 [Source:HGNC Symbol;Acc:HGNC:6890]	4242	0.3997156322002411	-0.14331366	No	
row_25	UBE2E1	ubiquitin conjugating enzyme E2 E1 [Source:HGNC Symbol;Acc:HGNC:12477]	4468	0.35328564047813416	-0.15822847	No	
row_26	PMF1	polyamine modulated factor 1 [Source:HGNC Symbol;Acc:HGNC:9112]	4858	0.3333669900894165	-0.18723273	No	
row_27	PPP2CB	protein phosphatase 2 catalytic subunit beta [Source:HGNC Symbol;Acc:HGNC:9300]	4979	0.3074077367782593	-0.193807	No	
row_28	PPP2CA	protein phosphatase 2 catalytic subunit alpha [Source:HGNC Symbol;Acc:HGNC:9299]	5305	0.2262648493051529	-0.21864551	No	
row_29	BUB1	BUB1 mitotic checkpoint serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:1148]	5360	0.21354158222675323	-0.22073151	No	
row_30	SGO1	shugoshin 1 [Source:HGNC Symbol;Acc:HGNC:25088]	5659	0.18904522061347961	-0.24372022	No	
row_31	CENPQ	centromere protein Q [Source:HGNC Symbol;Acc:HGNC:21347]	5820	0.1541801393032074	-0.25545207	No	
row_32	DYNLL1	dynein light chain LC8-type 1 [Source:HGNC Symbol;Acc:HGNC:15476]	5846	0.1498953104019165	-0.2558258	No	
row_33	CDC23	cell division cycle 23 [Source:HGNC Symbol;Acc:HGNC:1724]	6032	0.10555687546730042	-0.27023423	No	
row_34	KNL1	kinetochore scaffold 1 [Source:HGNC Symbol;Acc:HGNC:24054]	6050	0.10294448584318161	-0.27047658	No	
row_35	INCENP	inner centromere protein [Source:HGNC Symbol;Acc:HGNC:6058]	6501	0.007780046202242374	-0.30841237	No	
row_36	ZWINT	ZW10 interacting kinetochore protein [Source:HGNC Symbol;Acc:HGNC:13195]	6514	0.0022117465268820524	-0.30940074	No	
row_37	PPP1CC	protein phosphatase 1 catalytic subunit gamma [Source:HGNC Symbol;Acc:HGNC:9283]	6625	-0.019978733733296394	-0.31846422	No	
row_38	MIS12	MIS12 kinetochore complex component [Source:HGNC Symbol;Acc:HGNC:24967]	6825	-0.05816980078816414	-0.3346054	No	
row_39	SGO2	shugoshin 2 [Source:HGNC Symbol;Acc:HGNC:30812]	6878	-0.0697319433093071	-0.33819062	No	
row_40	SPDL1	spindle apparatus coiled-coil protein 1 [Source:HGNC Symbol;Acc:HGNC:26010]	7108	-0.12762345373630524	-0.35606116	No	
row_41	ANAPC15	anaphase promoting complex subunit 15 [Source:HGNC Symbol;Acc:HGNC:24531]	7146	-0.1391593962907791	-0.35757348	No	
row_42	PAFAH1B1	platelet activating factor acetylhydrolase 1b regulatory subunit 1 [Source:HGNC Symbol;Acc:HGNC:8574]	7174	-0.14919713139533997	-0.35812432	No	
row_43	CENPU	centromere protein U [Source:HGNC Symbol;Acc:HGNC:21348]	7469	-0.21490485966205597	-0.38047504	No	
row_44	SKA2	spindle and kinetochore associated complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:28006]	7560	-0.2401043325662613	-0.38529497	No	
row_45	CDC20	cell division cycle 20 [Source:HGNC Symbol;Acc:HGNC:1723]	7683	-0.2635510265827179	-0.392547	No	
row_46	DYNC1LI1	dynein cytoplasmic 1 light intermediate chain 1 [Source:HGNC Symbol;Acc:HGNC:18745]	8016	-0.32355600595474243	-0.41684842	No	
row_47	DYNLL2	dynein light chain LC8-type 2 [Source:HGNC Symbol;Acc:HGNC:24596]	8116	-0.35329970717430115	-0.42111582	No	
row_48	MAD2L1	mitotic arrest deficient 2 like 1 [Source:HGNC Symbol;Acc:HGNC:6763]	8584	-0.4232182800769806	-0.45566893	Yes	
row_49	KIF18A	kinesin family member 18A [Source:HGNC Symbol;Acc:HGNC:29441]	8586	-0.4234902858734131	-0.45084086	Yes	
row_50	SPC24	SPC24 component of NDC80 kinetochore complex [Source:HGNC Symbol;Acc:HGNC:26913]	8607	-0.43116241693496704	-0.44752932	Yes	
row_51	PPP2R5D	protein phosphatase 2 regulatory subunit B'delta [Source:HGNC Symbol;Acc:HGNC:9312]	8684	-0.44615456461906433	-0.44877598	Yes	
row_52	B9D2	B9 domain containing 2 [Source:HGNC Symbol;Acc:HGNC:28636]	8689	-0.44615456461906433	-0.4439385	Yes	
row_53	CENPC	centromere protein C [Source:HGNC Symbol;Acc:HGNC:1854]	8770	-0.4613500237464905	-0.44534692	Yes	
row_54	CENPL	centromere protein L [Source:HGNC Symbol;Acc:HGNC:17879]	8850	-0.48939982056617737	-0.44634545	Yes	
row_55	NUP98	nucleoporin 98 and 96 precursor [Source:HGNC Symbol;Acc:HGNC:8068]	8884	-0.4990015923976898	-0.4433455	Yes	
row_56	RPS27	ribosomal protein S27 [Source:HGNC Symbol;Acc:HGNC:10416]	8937	-0.5209200382232666	-0.44169682	Yes	
row_57	NUP85	nucleoporin 85 [Source:HGNC Symbol;Acc:HGNC:8734]	8949	-0.5255453586578369	-0.43652987	Yes	
row_58	CENPI	centromere protein I [Source:HGNC Symbol;Acc:HGNC:3968]	8978	-0.5351802706718445	-0.43268773	Yes	
row_59	SEC13	SEC13 homolog, nuclear pore and COPII coat complex component [Source:HGNC Symbol;Acc:HGNC:10697]	8986	-0.5379464626312256	-0.42703894	Yes	
row_60	PPP2R5C	protein phosphatase 2 regulatory subunit B'gamma [Source:HGNC Symbol;Acc:HGNC:9311]	9042	-0.5558661222457886	-0.4252384	Yes	
row_61	ANAPC5	anaphase promoting complex subunit 5 [Source:HGNC Symbol;Acc:HGNC:15713]	9081	-0.5639011859893799	-0.42190808	Yes	
row_62	KIF2A	kinesin family member 2A [Source:HGNC Symbol;Acc:HGNC:6318]	9132	-0.5747608542442322	-0.41946584	Yes	
row_63	ZWILCH	zwilch kinetochore protein [Source:HGNC Symbol;Acc:HGNC:25468]	9138	-0.5789783596992493	-0.41317207	Yes	
row_64	PPP2R5E	protein phosphatase 2 regulatory subunit B'epsilon [Source:HGNC Symbol;Acc:HGNC:9313]	9154	-0.5842298269271851	-0.40766242	Yes	
row_65	PLK1	polo like kinase 1 [Source:HGNC Symbol;Acc:HGNC:9077]	9189	-0.5962185263633728	-0.4036192	Yes	
row_66	ERCC6L	ERCC excision repair 6 like, spindle assembly checkpoint helicase [Source:HGNC Symbol;Acc:HGNC:20794]	9382	-0.6489439606666565	-0.41231576	Yes	
row_67	CENPT	centromere protein T [Source:HGNC Symbol;Acc:HGNC:25787]	9480	-0.6526939868927002	-0.41294107	Yes	
row_68	CENPM	centromere protein M [Source:HGNC Symbol;Acc:HGNC:18352]	9738	-0.7653436660766602	-0.42578	Yes	
row_69	NUP160	nucleoporin 160 [Source:HGNC Symbol;Acc:HGNC:18017]	9869	-0.7979902625083923	-0.4275084	Yes	
row_70	ITGB3BP	integrin subunit beta 3 binding protein [Source:HGNC Symbol;Acc:HGNC:6157]	9882	-0.8057690262794495	-0.41917533	Yes	
row_71	CENPE	centromere protein E [Source:HGNC Symbol;Acc:HGNC:1856]	10286	-0.9589166641235352	-0.4421061	Yes	
row_72	ANAPC7	anaphase promoting complex subunit 7 [Source:HGNC Symbol;Acc:HGNC:17380]	10362	-0.996262788772583	-0.43688688	Yes	
row_73	BUB3	BUB3 mitotic checkpoint protein [Source:HGNC Symbol;Acc:HGNC:1151]	10459	-1.0377354621887207	-0.43296114	Yes	
row_74	NSL1	NSL1 component of MIS12 kinetochore complex [Source:HGNC Symbol;Acc:HGNC:24548]	10538	-1.0864685773849487	-0.42694902	Yes	
row_75	CDC16	cell division cycle 16 [Source:HGNC Symbol;Acc:HGNC:1720]	10601	-1.124221682548523	-0.41914693	Yes	
row_76	CENPF	centromere protein F [Source:HGNC Symbol;Acc:HGNC:1857]	10686	-1.1816942691802979	-0.4125372	Yes	
row_77	AHCTF1	AT-hook containing transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:24618]	10814	-1.2622288465499878	-0.40862682	Yes	
row_78	ANAPC1	anaphase promoting complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:19988]	10968	-1.3732984066009521	-0.4056251	Yes	
row_79	CKAP5	cytoskeleton associated protein 5 [Source:HGNC Symbol;Acc:HGNC:28959]	10975	-1.3808962106704712	-0.39011338	Yes	
