NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DNAJB1	DnaJ heat shock protein family (Hsp40) member B1 [Source:HGNC Symbol;Acc:HGNC:5270]	217	2.3249876499176025	-0.0063348548	No	
row_1	ARL4A	ADP ribosylation factor like GTPase 4A [Source:HGNC Symbol;Acc:HGNC:695]	281	2.1717019081115723	-3.2774743E-4	No	
row_2	CDKL5	cyclin dependent kinase like 5 [Source:HGNC Symbol;Acc:HGNC:11411]	371	1.994451880455017	0.0025307755	No	
row_3	GIT2	GIT ArfGAP 2 [Source:HGNC Symbol;Acc:HGNC:4273]	576	1.7138134241104126	-0.0058983816	No	
row_4	CDCA3	cell division cycle associated 3 [Source:HGNC Symbol;Acc:HGNC:14624]	841	1.450606107711792	-0.020829003	No	
row_5	TJP1	tight junction protein 1 [Source:HGNC Symbol;Acc:HGNC:11827]	916	1.390881896018982	-0.019854197	No	
row_6	SERTAD3	SERTA domain containing 3 [Source:HGNC Symbol;Acc:HGNC:17931]	1165	1.2228552103042603	-0.034613	No	
row_7	CCSAP	centriole, cilia and spindle associated protein [Source:HGNC Symbol;Acc:HGNC:29578]	1435	1.090219259262085	-0.0518597	No	
row_8	BTG1	BTG anti-proliferation factor 1 [Source:HGNC Symbol;Acc:HGNC:1130]	1503	1.0582259893417358	-0.05203127	No	
row_9	CLK4	CDC like kinase 4 [Source:HGNC Symbol;Acc:HGNC:13659]	1620	1.0069241523742676	-0.056654453	No	
row_10	NUP37	nucleoporin 37 [Source:HGNC Symbol;Acc:HGNC:29929]	1634	0.997408926486969	-0.052535374	No	
row_11	OIP5	Opa interacting protein 5 [Source:HGNC Symbol;Acc:HGNC:20300]	1949	0.8848168253898621	-0.074700095	No	
row_12	MGAT2	alpha-1,6-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase [Source:HGNC Symbol;Acc:HGNC:7045]	1951	0.8848168253898621	-0.07014693	No	
row_13	ADGRE5	adhesion G protein-coupled receptor E5 [Source:HGNC Symbol;Acc:HGNC:1711]	2065	0.8576965928077698	-0.075296335	No	
row_14	NUF2	NUF2 component of NDC80 kinetochore complex [Source:HGNC Symbol;Acc:HGNC:14621]	2169	0.8276830911636353	-0.07974948	No	
row_15	DCP2	decapping mRNA 2 [Source:HGNC Symbol;Acc:HGNC:24452]	2207	0.8113258481025696	-0.078654565	No	
row_16	CSPG4	chondroitin sulfate proteoglycan 4 [Source:HGNC Symbol;Acc:HGNC:2466]	2258	0.8028404712677002	-0.07871383	No	
row_17	ADGRG6	adhesion G protein-coupled receptor G6 [Source:HGNC Symbol;Acc:HGNC:13841]	2369	0.7825775146484375	-0.084000945	No	
row_18	GPSM2	G protein signaling modulator 2 [Source:HGNC Symbol;Acc:HGNC:29501]	2454	0.7621268033981323	-0.087175906	No	
row_19	TNFAIP2	TNF alpha induced protein 2 [Source:HGNC Symbol;Acc:HGNC:11895]	2881	0.664369523525238	-0.12005668	No	
row_20	LDLR	low density lipoprotein receptor [Source:HGNC Symbol;Acc:HGNC:6547]	2946	0.6513755917549133	-0.122105025	No	
row_21	CABYR	calcium binding tyrosine phosphorylation regulated [Source:HGNC Symbol;Acc:HGNC:15569]	3049	0.6297745704650879	-0.12751031	No	
row_22	KCTD9	potassium channel tetramerization domain containing 9 [Source:HGNC Symbol;Acc:HGNC:22401]	3052	0.6287732720375061	-0.124384776	No	
row_23	NDE1	nudE neurodevelopment protein 1 [Source:HGNC Symbol;Acc:HGNC:17619]	3064	0.6263315081596375	-0.122040294	No	
row_24	MPHOSPH9	M-phase phosphoprotein 9 [Source:HGNC Symbol;Acc:HGNC:7215]	3122	0.6118729710578918	-0.1236982	No	
